Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Heywood,Glamis Ave (232573),2014-01-06 19:41:13,Opened,5.80,7.32,3.12,7.63,10.83,5.77,7.99,1.40,-0.93,
Musgrave Rd,Stapleton Ave (231390),2013-10-20 15:23:20,Closed,-8.29,2.98,-0.31,-9.68,4.84,-5.67,-16.76,-2.06,-1.91,
Spa Rd,Kent St (231075),2013-10-20 15:30:07,Closed,-6.98,0.44,2.06,-2.89,-1.03,-1.76,-9.59,7.73,-1.49,
Sale,Dane Mornington (171247),2014-01-25 13:27:25,Closed,2.08,2.02,3.42,5.06,10.82,8.05,-6.55,-10.62,-9.12,
Farnworth,Primrose St (232537),2014-02-14 15:57:24,Closed,-4.48,-11.96,-0.32,-1.65,-4.33,-3.30,-17.79,-42.12,15.93,
Farnworth,Rousevelt Rd (232401),2014-02-14 15:57:24,Closed,-9.68,-9.29,-5.47,-0.93,-9.17,-0.93,-5.67,-11.86,-22.79,
Hyde,Grange Rd (321023),2014-01-25 13:29:21,Closed,-3.90,7.49,4.11,0.72,6.60,6.80,-8.61,4.02,9.17,
Crown Ln,Moreton Mill (231547),2014-02-07 14:02:20,Opened,4.27,1.32,3.98,1.03,3.10,8.04,9.90,7.99,4.90,
Crown Ln,Green Ln (231207),2014-02-07 14:02:20,Opened,3.90,3.05,-1.21,-0.82,3.51,-3.50,23.09,1.90,-4.07,
Chatsworth Street,Ramsden Special Sch (618009),2013-10-24 16:52:13,Closed,-0.56,-3.27,-3.96,-4.43,-8.04,-5.56,11.34,1.09,-3.55,
Woodley,Travellers Call (330278),2014-03-14 14:48:13,Opened,1.24,2.01,8.01,2.68,0.41,4.01,5.41,4.64,10.51,
Woodley,Travellers Call (330278),2014-02-14 18:33:05,Closed,-2.50,-4.85,-0.99,-0.41,-7.32,-3.20,-3.10,-8.25,-0.05,
Crown Ln,Moreton Mill (231547),2014-01-25 12:51:27,Closed,6.19,3.50,0.66,8.15,1.96,5.56,11.03,13.56,0.77,
Crown Ln,Green Ln (231207),2014-01-25 12:51:27,Closed,6.48,5.37,-0.05,15.77,7.22,4.63,0.42,2.52,-12.99,
Great Harwood,Delph Mill (450154),2014-01-25 13:21:39,Closed,10.59,5.50,9.08,11.24,9.39,13.10,5.31,-25.78,18.04,
Crown Ln,Moreton Mill (231547),2013-05-03 10:55:49,Closed,-3.69,-8.46,-0.32,-5.67,-6.28,4.33,1.23,-12.63,-12.07,
Denton East,Ruskin Ave (172167),2014-01-25 12:44:50,Closed,0.35,-0.38,6.57,3.09,1.03,10.00,-7.22,-2.73,-1.81,
Denton East,Scott Rd (172175),2014-01-25 12:44:50,Closed,3.66,1.14,2.72,4.95,-0.92,1.75,-3.25,8.81,6.60,
Levenshulme,Fairbourne Rd (171654),2014-01-06 19:39:11,Opened,-2.75,2.28,-7.26,1.03,17.11,-2.38,-9.89,1.13,-11.55,
Crown Ln,Moreton Mill (231547),2013-07-15 13:16:12,Opened,4.54,3.32,3.46,5.88,4.33,4.43,1.50,6.55,10.05,
Farnworth,Primrose St (232537),2014-02-07 14:11:03,Opened,-0.62,-7.31,5.70,-0.10,-6.18,10.72,-0.21,-10.67,9.23,
Farnworth,Rousevelt Rd (232401),2014-02-07 14:11:03,Opened,2.59,4.20,5.04,5.05,2.38,8.56,17.58,1.54,-7.79,
Griffin,Revidge Rd (450601),2014-01-25 12:59:56,Closed,10.41,0.61,1.57,19.07,6.39,5.47,6.23,6.08,1.80,
Griffin,Mire Ash (450634),2014-01-25 12:59:56,Closed,0.40,0.32,2.69,1.24,1.55,2.78,-4.54,1.03,-0.78,
Clover Hill,Hibson Rd (458430),2014-02-07 14:38:46,Opened,-8.83,-15.31,-5.28,-9.07,-23.61,-7.63,-12.83,2.48,-4.69,
Monton,Vicars Street (165510),2014-01-25 13:28:26,Closed,0.75,1.23,-0.15,0.92,0.82,-0.41,-0.46,3.72,0.21,
Roman Rd,Longshaw Mill (450560),2014-02-07 14:41:38,Opened,3.41,-1.65,0.25,2.47,-3.71,0.41,-0.46,-2.73,3.56,
Hyde,Grange Rd (321023),2014-01-06 20:10:34,Opened,8.66,-0.87,-3.06,11.24,-14.64,-3.19,-1.75,17.63,-9.65,
Droylsden East,Old Fm Cres (172127),2014-01-25 13:03:27,Closed,8.37,-0.36,2.91,3.81,-0.72,2.99,7.37,-1.45,10.62,
Heywood,Glamis Ave (232573),2014-01-25 13:07:20,Closed,6.66,2.45,0.33,8.66,9.08,2.89,-1.34,-3.30,3.25,
Musgrave Rd,Oakwood Dr (231239),2014-01-25 13:02:21,Closed,3.63,-1.61,9.15,6.19,2.99,12.27,-5.25,-8.50,13.29,
Crown Ln,Moreton Mill (231547),2014-01-06 19:14:18,Opened,4.36,4.23,6.19,5.47,7.22,8.76,0.67,11.75,4.65,
Moss Nook,Queensway No. 173 (171634),2014-02-07 13:53:43,Opened,-8.79,-3.68,-5.82,-7.22,-3.30,-9.69,-20.78,-9.28,0.36,
Exchange St,Grime St (450473),2014-01-25 12:54:31,Closed,5.26,3.40,4.19,2.89,1.23,9.59,10.72,2.26,3.35,
Roman Rd,Longshaw Mill (450560),2013-12-01 13:42:09,Closed,1.92,2.83,-1.22,2.16,1.97,0.41,1.19,9.49,-2.63,
Roman Rd,Abbotsford Ave (450985),2013-12-01 13:42:09,Closed,-3.10,8.75,3.21,-9.48,14.13,7.22,0.00,21.81,-9.07,
