Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Heywood,Glamis Ave (232573),2014-01-06 19:41:13,Opened,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.01,-0.02,0.01,
Musgrave Rd,Stapleton Ave (231390),2013-10-20 15:23:20,Closed,-0.02,-0.01,-0.02,0.00,-0.01,-0.00,-0.07,-0.05,-0.05,
Spa Rd,Kent St (231075),2013-10-20 15:30:07,Closed,-0.01,-0.00,-0.01,0.01,0.01,0.01,0.01,0.00,0.00,
Sale,Dane Mornington (171247),2014-01-25 13:27:25,Closed,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.02,
Farnworth,Primrose St (232537),2014-02-14 15:57:24,Closed,-0.03,-0.05,-0.05,-0.02,-0.02,-0.02,-0.11,-0.33,-0.39,
Farnworth,Rousevelt Rd (232401),2014-02-14 15:57:24,Closed,-0.04,-0.05,-0.05,-0.01,-0.01,-0.01,-0.17,-0.40,-0.48,
Hyde,Grange Rd (321023),2014-01-25 13:29:21,Closed,0.00,-0.00,-0.00,-0.01,0.00,0.00,0.01,0.01,0.00,
Crown Ln,Moreton Mill (231547),2014-02-07 14:02:20,Opened,-0.06,-0.07,-0.07,-0.00,0.00,0.00,-0.03,0.00,-0.02,
Crown Ln,Green Ln (231207),2014-02-07 14:02:20,Opened,-0.05,-0.06,-0.06,0.00,0.01,0.02,-0.03,-0.02,-0.05,
Chatsworth Street,Ramsden Special Sch (618009),2013-10-24 16:52:13,Closed,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.03,0.02,
Woodley,Travellers Call (330278),2014-03-14 14:48:13,Opened,0.00,0.00,0.01,0.01,0.01,0.01,-0.03,-0.03,-0.03,
Woodley,Travellers Call (330278),2014-02-14 18:33:05,Closed,-0.04,-0.07,-0.07,-0.01,-0.02,-0.02,-0.28,-0.44,-0.43,
Crown Ln,Moreton Mill (231547),2014-01-25 12:51:27,Closed,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,
Crown Ln,Green Ln (231207),2014-01-25 12:51:27,Closed,0.02,0.01,0.01,0.03,0.01,0.02,0.06,0.00,-0.01,
