Primary,Secondary,Event time,Event type,Phase A mean,Phase B mean,Phase C mean,Phase A median,Phase B median,Phase C median,Phase A 95th percentile,Phase B 95th percentile,Phase C 95th percentile,
Heywood,Glamis Ave (232573),2014-01-06 19:41:13,Opened,-0.76,-0.82,-0.97,-0.80,-0.90,-0.90,-0.70,-0.80,-1.10,
Musgrave Rd,Stapleton Ave (231390),2013-10-20 15:23:20,Closed,0.13,0.09,0.26,0.20,0.10,0.30,0.30,0.20,0.40,
Spa Rd,Kent St (231075),2013-10-20 15:30:07,Closed,0.04,0.05,-0.05,-0.10,-0.10,-0.10,0.10,-0.10,-0.20,
Sale,Dane Mornington (171247),2014-01-25 13:27:25,Closed,-0.66,-0.51,-0.58,-0.60,-0.50,-0.60,-0.67,-0.70,-0.70,
Farnworth,Primrose St (232537),2014-02-14 15:57:24,Closed,0.25,0.18,0.20,0.40,0.30,0.40,0.00,0.00,-0.20,
Farnworth,Rousevelt Rd (232401),2014-02-14 15:57:24,Closed,-0.86,-1.04,-1.02,-0.90,-1.00,-0.90,-0.80,-1.10,-1.00,
Hyde,Grange Rd (321023),2014-01-25 13:29:21,Closed,-0.22,-0.42,-0.19,-0.15,-0.30,-0.15,-0.50,-0.60,-0.40,
Crown Ln,Moreton Mill (231547),2014-02-07 14:02:20,Opened,-0.41,-0.52,-0.47,-0.60,-0.60,-0.60,-0.20,-0.18,-0.23,
Crown Ln,Green Ln (231207),2014-02-07 14:02:20,Opened,0.08,-0.05,-0.05,0.00,-0.10,-0.10,0.28,0.13,0.10,
Chatsworth Street,Ramsden Special Sch (618009),2013-10-24 16:52:13,Closed,-0.07,0.17,-0.16,0.10,0.10,0.00,-0.10,0.40,-0.20,
Woodley,Travellers Call (330278),2014-03-14 14:48:13,Opened,-0.53,-0.76,-0.85,-0.50,-0.80,-0.80,-0.60,-0.83,-0.90,
Woodley,Travellers Call (330278),2014-02-14 18:33:05,Closed,-0.27,-0.30,-0.37,-0.30,-0.30,-0.40,-0.20,-0.10,-0.40,
Crown Ln,Moreton Mill (231547),2014-01-25 12:51:27,Closed,-0.43,-0.48,-0.37,-0.50,-0.50,-0.30,-0.10,-0.10,-0.17,
Crown Ln,Green Ln (231207),2014-01-25 12:51:27,Closed,0.09,0.08,0.04,0.00,0.00,-0.10,0.30,0.38,0.17,
Great Harwood,Delph Mill (450154),2014-01-25 13:21:39,Closed,-0.73,-0.67,-0.72,-0.50,-0.30,-0.50,-1.30,-1.70,-1.30,
Crown Ln,Moreton Mill (231547),2013-05-03 10:55:49,Closed,0.35,0.48,0.24,0.50,0.60,0.20,0.60,0.90,0.58,
Denton East,Ruskin Ave (172167),2014-01-25 12:44:50,Closed,-0.26,-0.40,-0.29,-0.40,-0.40,-0.40,-0.20,-0.40,-0.10,
Denton East,Scott Rd (172175),2014-01-25 12:44:50,Closed,-0.02,-0.03,0.10,-0.20,-0.20,0.00,-0.18,-0.20,0.00,
Levenshulme,Fairbourne Rd (171654),2014-01-06 19:39:11,Opened,-0.21,-0.05,-0.35,-0.20,0.10,-0.20,-0.20,-0.20,-0.20,
Crown Ln,Moreton Mill (231547),2013-07-15 13:16:12,Opened,0.97,0.86,1.29,1.00,0.90,1.30,0.80,0.80,1.10,
Farnworth,Primrose St (232537),2014-02-07 14:11:03,Opened,0.24,0.19,0.07,0.20,0.40,0.20,0.03,0.00,-0.40,
Farnworth,Rousevelt Rd (232401),2014-02-07 14:11:03,Opened,-0.89,-1.10,-1.13,-1.00,-1.10,-1.20,-0.80,-1.20,-1.10,
